timestamp,test-class,test-method,time,description,result
2021-05-28 20:44:48.348,administrator.AdministratorConfigurationListTest,listAndShowTest,6052,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, threshold=0.10, language=English",OK
2021-05-28 20:44:54.508,administrator.AdministratorConfigurationListTest,listAndShowTest,5837,"[2] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=0.10, language=Español",OK
2021-05-28 20:45:13.496,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,8395,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, threshold=0.20, language=English",OK
2021-05-28 20:45:20.659,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6915,"[2] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=0.10, language=English",OK
2021-05-28 20:45:27.758,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6816,"[3] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, million dollar, blood, threshold=0.20, language=English",OK
2021-05-28 20:45:34.839,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6845,"[4] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=0.20, language=Español",OK
2021-05-28 20:45:42.015,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6873,"[5] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, sangre, threshold=0.10, language=Español",OK
2021-05-28 20:45:49.021,administrator.AdministratorConfigurationUpdateTest,updatePositiveTests,6754,"[6] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, threshold=0.10, language=Español",OK
2021-05-28 20:45:55.027,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,5756,"[1] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=-2, language=English",OK
2021-05-28 20:46:02.036,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,6757,"[2] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=2, language=English",OK
2021-05-28 20:46:08.027,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,5740,"[3] recordIndex=0, words=sex, hard core, viagra, cialis, nigeria, you've won, threshold=null, language=English",OK
2021-05-28 20:46:14.113,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,5823,"[4] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=-2, language=Español",OK
2021-05-28 20:46:20.218,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,5836,"[5] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=2, language=Español",OK
2021-05-28 20:46:26.208,administrator.AdministratorConfigurationUpdateTest,updateNegativeTests,5759,"[6] recordIndex=1, words=sexo, duro, viagra, cialis, nigeria, has ganado, millón de dolares, threshold=null, language=Español",OK
2021-05-28 20:46:40.201,acme.testing.administrator.dashboard.AdministratorDashboardShowTest,show,4505,"[1] averageNumberOfJobsPerEmployer=2.00, averageNumberOfApplicationsPerWorker=1.00, averageNumberOfApplicationsPerEmployer=0.50, numberOfTasksPublic=2, numberOfTasksPrivate=2, numberOfTasksFinished=0, numberOfTasksUnfinished=4, averageWorkload=1.37, deviationWorkload=0.81, maximumWorkload=2.50, minimumWorkload=0.25, averageExecutionPeriod=0.83, deviationExecutionPeriod=1.52, maximumExecutionPeriod=3.06, minimumExecutionPeriod=0.01",OK
2021-05-28 20:49:09.446,acme.testing.authenticated.task.AuthenticatedTaskListAndShowTest,listAndShowTest,139204,"[1] recordIndex=0, title=Trying a little test",OK
2021-05-28 20:49:13.516,acme.testing.authenticated.task.AuthenticatedTaskListAndShowTest,listAndShowNegativeTest,3834,"[1] ",OK
2021-05-28 20:49:31.219,acme.testing.manager.task.ManagerTaskCreateTest,createPositiveIsPrivate,8494,"[1] recordIndex=4, title=Go to Mercadona, startTime=2021/06/29 11:00, endTime=2021/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-05-28 20:49:40.215,acme.testing.manager.task.ManagerTaskCreateTest,createPositiveIsPublic,8760,"[1] recordIndex=4, title=Go to Mercadona, startTime=2021/06/29 11:00, endTime=2021/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-05-28 20:49:46.417,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5936,"[1] recordIndex=0, title=null, startTime=2021/06/29 11:00, endTime=2021/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-05-28 20:49:52.697,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,6017,"[2] recordIndex=0, title=Go to Mercadona, startTime=null, endTime=2021/06/29 13:00, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
2021-05-28 20:49:58.916,acme.testing.manager.task.ManagerTaskCreateTest,createNegative,5985,"[3] recordIndex=0, title=Go to Mercadona, startTime=2021/06/29 11:00, endTime=null, workload=0.50, description=Compra Huevos y jamon porfa, info=https://example.org/",OK
